Pays,Clics,Impressions,CTR,Position
France,2,338,0.59%,21.53
Japon,2,177,1.13%,26.34
Grèce,1,1,100%,2
États-Unis,0,540,0%,33.44
Australie,0,313,0%,32.44
Royaume-Uni,0,295,0%,33.45
Canada,0,271,0%,32.99
Thaïlande,0,113,0%,29.12
Philippines,0,91,0%,28.23
Singapour,0,74,0%,33.51
Indonésie,0,59,0%,19.46
Inde,0,51,0%,23.55
Pays-Bas,0,24,0%,7.17
Malaisie,0,24,0%,21.5
Allemagne,0,9,0%,8.22
Suisse,0,8,0%,9.75
Brésil,0,7,0%,4.43
Corée du Sud,0,7,0%,10.57
Belgique,0,5,0%,9.6
Turquie,0,4,0%,5.75
Vietnam,0,4,0%,6.25
Honduras,0,3,0%,6
Ukraine,0,3,0%,18
Chili,0,2,0%,5
Italie,0,2,0%,5
Croatie,0,2,0%,5.5
Argentine,0,2,0%,7.5
Hong-Kong,0,2,0%,8.5
Pologne,0,2,0%,21
Arabie Saoudite,0,1,0%,1
Namibie,0,1,0%,2
Paraguay,0,1,0%,2
Venezuela,0,1,0%,2
Ouzbékistan,0,1,0%,3
Espagne,0,1,0%,6
Cambodge,0,1,0%,6
Martinique,0,1,0%,7
Albanie,0,1,0%,8
Botswana,0,1,0%,8
Cameroun,0,1,0%,8
Russie,0,1,0%,8
Iran,0,1,0%,9
Bangladesh,0,1,0%,11
Maroc,0,1,0%,11
Autriche,0,1,0%,12
Tunisie,0,1,0%,12
Émirats Arabes Unis,0,1,0%,30
Monaco,0,1,0%,50
