ward,ward_jp,listings_observed,measured_first_month_rent_jpy,measured_deposit_shikikin_jpy,measured_pct_listings_no_deposit,measured_key_money_reikin_jpy,measured_pct_listings_no_key_money,measured_subtotal_jpy,convention_agency_fee_jpy,convention_guarantor_fee_jpy,estimated_total_upfront_jpy,estimated_total_in_months_of_rent
Minato,港区,6204,210000,200000,18.9,152000,29.6,562000,231000,105000,898000,4.28
Chuo,中央区,4331,198000,179000,25.4,143000,32.6,520000,217800,99000,836800,4.23
Chiyoda,千代田区,1939,172000,153000,29.0,145000,30.6,470000,189200,86000,745200,4.33
Shibuya,渋谷区,6381,169000,150000,21.2,124000,29.5,443000,185900,84500,713400,4.22
Bunkyo,文京区,4394,153000,110000,28.1,93000,33.5,356000,168300,76500,600800,3.93
Meguro,目黒区,4704,151000,128500,21.5,110000,28.9,389500,166100,75500,631100,4.18
Taito,台東区,5323,149000,115000,34.9,68000,48.0,332000,163900,74500,570400,3.83
Shinjuku,新宿区,9202,142000,108000,29.0,93000,35.1,343000,156200,71000,570200,4.02
Koto,江東区,6449,136000,111000,32.8,80000,44.3,327000,149600,68000,544600,4.0
Shinagawa,品川区,7008,132000,105000,29.7,94000,34.2,331000,145200,66000,542200,4.11
Sumida,墨田区,5212,130000,90000,39.9,85000,41.2,305000,143000,65000,513000,3.95
Arakawa,荒川区,3225,115000,65000,44.1,78000,38.3,258000,126500,57500,442000,3.84
Toshima,豊島区,5487,114000,82000,31.8,80000,34.3,276000,125400,57000,458400,4.02
Setagaya,世田谷区,12570,110000,83000,26.0,87000,28.0,280000,121000,55000,456000,4.15
Nakano,中野区,6814,107000,75000,31.6,77000,34.6,259000,117700,53500,430200,4.02
Ota,大田区,8060,106000,80000,32.9,85850,29.3,271850,116600,53000,441450,4.16
Kita,北区,4998,100000,66000,38.9,72000,36.3,238000,110000,50000,398000,3.98
Suginami,杉並区,7897,93000,70000,31.6,75000,31.8,238000,102300,46500,386800,4.16
Nerima,練馬区,5021,92000,58000,44.6,76000,34.2,226000,101200,46000,373200,4.06
Itabashi,板橋区,6685,92000,50000,47.1,72000,36.0,214000,101200,46000,361200,3.93
Edogawa,江戸川区,4759,86000,65000,38.0,64000,42.9,215000,94600,43000,352600,4.1
Adachi,足立区,6227,85000,0,58.5,64000,42.3,149000,93500,42500,285000,3.35
Katsushika,葛飾区,3602,83000,0,56.9,68000,39.6,151000,91300,41500,283800,3.42
