Ward,Layout,Unfurnished_median_JPY_month,Furnished_median_JPY_month,Furnished_premium_pct,Unfurnished_n,Furnished_n
Chiyoda,1K,143000,173400,21,2035,76
Chuo,1K,100000,167400,67,6983,196
Minato,1K,144000,174000,21,5722,161
Shinjuku,1K,123500,161700,31,9509,194
Bunkyo,1K,115000,160050,39,4219,90
Taito,1K,129000,192000,49,4584,85
Sumida,1K,116000,164700,42,5475,89
Koto,1K,123000,164100,33,7472,107
Shinagawa,1K,115000,173400,51,8180,267
Meguro,1K,110000,158400,44,3533,60
Ota,1K,98000,152100,55,10902,264
Setagaya,1K,90000,146400,63,13548,72
Shibuya,1K,130000,172200,32,5728,87
Nakano,1K,91250,143400,57,6894,31
Suginami,1K,85000,146400,72,8698,71
Toshima,1K,102000,151500,49,6277,137
Kita,1K,95000,142950,50,5765,34
Arakawa,1K,97000,155700,61,3027,17
Itabashi,1K,93500,145050,55,9726,76
Nerima,1K,87000,124200,43,9505,63
Adachi,1K,81000,133350,65,7932,32
Katsushika,1K,83000,171900,107,5359,52
Edogawa,1K,78000,128700,65,5515,18
