ward_en,ward_jp,listings,median_rent_jpy,median_deposit_jpy,median_key_money_jpy,median_upfront_jpy,pct_no_deposit,pct_no_key_money
Minato,港区,6204,210000.0,200000.0,152000.0,348000.0,18.9,29.6
Chuo,中央区,4331,198000.0,179000.0,143000.0,276000.0,25.4,32.6
Chiyoda,千代田区,1940,172000.0,153000.0,145000.0,271500.0,28.9,30.8
Shibuya,渋谷区,6380,169000.0,150000.0,125000.0,258000.0,21.3,29.3
Meguro,目黒区,4704,151000.0,129000.0,109000.0,236000.0,21.4,29.0
Bunkyo,文京区,4399,153000.0,110000.0,93000.0,200000.0,28.2,33.5
Shinjuku,新宿区,9202,142000.0,108000.0,92000.0,190000.0,28.9,35.2
Shinagawa,品川区,7008,132000.0,105000.0,94000.0,188000.0,29.8,34.2
Koto,江東区,6449,136000.0,111000.0,80000.0,170000.0,32.8,44.4
Taito,台東区,5323,149000.0,115000.0,68000.0,176000.0,34.9,48.0
Sumida,墨田区,5212,130000.0,90000.0,85000.0,160000.0,39.9,41.2
Setagaya,世田谷区,12571,110000.0,83000.0,87000.0,165000.0,26.0,28.1
Ota,大田区,8060,106000.0,80000.0,85000.0,154000.0,32.9,29.3
Toshima,豊島区,5483,114000.0,82000.0,80000.0,158000.0,31.7,34.1
Nakano,中野区,6814,107000.0,75000.0,77000.0,148000.0,31.6,34.5
Suginami,杉並区,7897,93000.0,70000.0,75000.0,140000.0,31.6,31.9
Arakawa,荒川区,3225,115000.0,65000.0,77000.0,138000.0,44.1,38.5
Kita,北区,4998,100000.0,66000.0,72000.0,131500.0,38.9,36.2
Nerima,練馬区,5020,92000.0,58000.0,75000.0,119000.0,44.7,34.4
Edogawa,江戸川区,4758,86000.0,65000.0,64000.0,110000.0,38.0,42.8
Itabashi,板橋区,6686,92000.0,50000.0,72000.0,114000.0,47.1,36.1
Katsushika,葛飾区,3602,83000.0,0.0,67000.0,89000.0,56.9,39.6
Adachi,足立区,6226,85000.0,0.0,64000.0,90000.0,58.6,42.4
