ward,standard,furnished,n_furnished,n_standard,premium_pct
Edogawa,78000.0,129300.0,24,6923,65.76923076923077
Adachi,81500.0,143400.0,48,9843,75.95092024539878
Katsushika,83500.0,170400.0,76,6614,104.07185628742516
Suginami,85000.0,128400.0,86,10968,51.058823529411754
Nerima,87100.0,124800.0,64,11432,43.28358208955223
Setagaya,90500.0,128400.0,77,16835,41.87845303867404
Nakano,92000.0,158400.0,39,8828,72.17391304347827
Itabashi,93000.0,139200.0,81,11955,49.67741935483871
Kita,95000.0,147300.0,38,7137,55.05263157894738
Arakawa,96650.0,147600.0,16,3830,52.71598551474392
Ota,97800.0,146850.0,284,13792,50.153374233128844
Chuo,100000.0,164400.0,232,9037,64.39999999999999
Toshima,100500.0,149400.0,138,7911,48.65671641791045
Meguro,110000.0,140400.0,77,4509,27.636363636363637
Shinagawa,115000.0,159000.0,306,10537,38.26086956521739
Bunkyo,115000.0,152400.0,89,5241,32.52173913043479
Sumida,115300.0,161850.0,86,6929,40.37294015611448
Koto,122000.0,165000.0,111,9183,35.24590163934427
Shinjuku,123500.0,155400.0,215,11951,25.829959514170042
Taito,128000.0,182400.0,93,5761,42.50000000000001
Shibuya,130000.0,161400.0,124,7139,24.153846153846146
Minato,144000.0,169650.0,206,7550,17.812500000000007
Chiyoda,144000.0,167400.0,90,2636,16.250000000000007
